time_ns,uart_tx_pin,uart_rx_pin,cs_mmio,reg_off,mmio_we,mmio_wdata,mmio_rdata,pc,mem_addr,tx_busy,mon_valid,mon_data
1706,1,1,0,0,0,0,0,72,0,1,0,65
1716,1,1,0,0,0,0,0,76,0,1,0,65
1726,1,1,0,0,0,0,0,68,0,1,0,65
1736,0,1,0,0,0,0,0,72,0,1,0,65
1746,0,1,0,0,0,0,0,76,0,1,0,65
1756,0,1,0,0,0,0,0,68,0,1,0,65
1766,0,1,0,0,0,0,0,72,0,1,0,65
1776,0,1,0,0,0,0,0,76,0,1,0,65
1786,0,1,0,0,0,0,0,68,0,1,0,65
1796,0,1,0,0,0,0,0,72,0,1,0,65
1806,0,1,0,0,0,0,0,76,0,1,0,65
1816,0,1,0,0,0,0,0,68,0,1,0,65
1826,0,1,0,0,0,0,0,72,0,1,0,65
1836,0,1,0,0,0,0,0,76,0,1,0,65
1846,0,1,0,0,0,0,0,68,0,1,0,65
1856,0,1,0,0,0,0,0,72,0,1,0,65
1866,0,1,0,0,0,0,0,76,0,1,0,65
1876,0,1,0,0,0,0,0,68,0,1,0,65
1886,0,1,0,0,0,0,0,72,0,1,0,65
1896,1,1,0,0,0,0,0,76,0,1,0,65
1906,1,1,0,0,0,0,0,68,0,1,0,65
1916,1,1,0,0,0,0,0,72,0,1,0,65
1926,1,1,0,0,0,0,0,76,0,1,0,65
1936,0,1,0,0,0,0,0,68,0,1,0,65
1946,0,1,0,0,0,0,0,72,0,1,0,65
1956,0,1,0,0,0,0,0,76,0,1,0,65
1966,0,1,0,0,0,0,0,68,0,1,0,65
1976,1,1,0,0,0,0,0,72,0,1,0,65
1986,1,1,0,0,0,0,0,76,0,1,0,65
1996,1,1,0,0,0,0,0,68,0,1,0,65
2006,1,1,0,0,0,0,0,72,0,1,0,65
2016,1,1,0,0,0,0,0,76,0,0,0,65
2026,1,1,0,0,0,0,0,68,0,0,1,66
